brand,model_name
SEAT,['TOLEDO' 'IBIZA' 'LEON' 'ALTEA' 'INCA' 'ALHAMBRA']
SHANGHAI_MAPLE,['C81']
SKODA,"['FABIA' 'OCTAVIA' '100_SERIES' 'SUPERB' 'RAPID' 'ROOMSTER' 'OCTAVIA_RS'
 'FABIA_RS' 'YETI' '120' 'KAROQ' 'KODIAQ' 'FELICIA' 'FAVORIT']"
SMART,['FORTWO' 'FORFOUR' 'ROADSTER']
SMZ,['S3D']
SSANG_YONG,"['ACTYON' 'REXTON' 'RODIUS' 'KORANDO' 'KORANDO_SPORTS' 'MUSSO' 'KYRON'
 'ISTANA' 'ACTYON_SPORT' 'KORANDO_TURISMO' 'STAVIC']"
SUBARU,"['FORESTER' 'IMPREZA_WRX_STI' 'SAMBAR' 'IMPREZA' 'OUTBACK' 'LEGACY'
 'IMPREZA_WRX' 'LEVORG' 'BRZ' 'B9_TRIBECA' 'WRX_STI' 'WRX' 'R2' 'XV'
 'LEONE' 'LEGACY_LANCASTER' 'EXIGA' 'R1' 'STELLA']"
SUZUKI,"['GRAND_VITARA' 'SWIFT' 'LIANA' 'SX4' 'ESTEEM' 'JIMNY' 'IGNIS' 'ESCUDO'
 'SPLASH' 'SOLIO' 'AERIO' 'WAGON_R_PLUS' 'WAGON_R' 'BALENO' 'SAMURAI'
 'VITARA' 'HUSTLER' 'KIZASHI' 'FORENZA' 'ALTO' 'CULTUS' 'EVERY']"
TAGAZ,['C190' 'AQUILA' 'TAGER' 'ROAD_PARTNER']
TATRA,['T700' 'T613']
TESLA,['MODEL_X' 'MODEL_S' 'MODEL_3']
TOYOTA,"['COROLLA' 'CROWN' 'TUNDRA' 'TOWN_ACE' 'LAND_CRUISER' 'ECHO' 'RAV_4'
 'HIACE' '4RUNNER' 'FUNCARGO' 'CROWN_MAJESTA' 'HILUX_SURF' 'VOXY'
 'LAND_CRUISER_PRADO' 'HILUX' 'CELICA' 'CRESTA' 'CALDINA' 'HIGHLANDER'
 'SUPRA' 'ARISTO' 'VERSO_S' 'BB' 'LITE_ACE' 'YARIS' 'SPRINTER' 'SPARKY'
 'PRIUSPLUS' 'CAMRY' 'TERCEL' 'ESTIMA' 'IPSUM' 'PRIUS' 'MASTER_ACE_SURF'
 'CARINA_E' 'SPRINTER_MARINO' 'VELLFIRE' 'CORONA_EXIV' 'NADIA' 'AQUA'
 'ALPHARD' 'COMFORT' 'CORSA' 'SIENNA' 'SIENTA' 'SUCCEED' 'PROBOX' 'VITZ'
 'AVENSIS_VERSO' 'CARINA' 'STARLET' 'SEQUOIA' 'ISIS' 'AVALON' 'PREMIO'
 'MARK_II' 'PREVIA' 'GRANVIA' 'AVENSIS' 'MEGA_CRUISER' 'WINDOM' 'CHASER'
 'VEROSSA' 'FORTUNER' 'ALTEZZA' 'PASEO' 'SOARER' 'GT86' 'AURIS' 'C_HR'
 'FJ_CRUISER' 'VANGUARD' 'MR2' 'SPRINTER_CARIB' 'HARRIER' 'COROLLA_VERSO'
 'ESQUIRE' 'COROLLA_LEVIN' 'MARK_X' 'CAVALIER' 'CORONA' 'VENZA' 'MR_S'
 'CYNOS' 'VERSO' 'VISTA' 'COROLLA_II' 'PASSO' 'CARINA_ED' 'ORIGIN' 'NOAH'
 'ALLEX' 'COROLLA_SPACIO' 'PICNIC' 'PORTE' 'MATRIX' 'SPRINTER_TRUENO'
 'TACOMA' 'TANK' 'SPADE' 'BLADE' 'CAMRY_SOLARA' 'IQ' 'SERA' 'DUET'
 'CELSIOR' 'CURREN']"
UAZ,['PATRIOT' 'HUNTER' '469' '3151' 'PICKUP' '3153' '3160' '3162']
VAZ,"['GRANTA' 'NIVA' '2170' '2121' '2131_4X4' '2109' '2104' 'KALINA' 'VESTA'
 '2103' '2110' '2107' '1111' '2129' 'ELLADA' '2101' '2111' '2102' 'XRAY'
 '2120' '2329' '2113' '2105' '2108' 'LARGUS' '2115' '2112' '21099' '2106']"
VOLKSWAGEN,"['BEETLE' 'POLO' 'CARAVELLE' 'TOURAN' 'TYPE_1' 'TRANSPORTER' 'TOUAREG'
 'GOLF' 'EOS' 'PASSAT' 'AMAROK' 'SCIROCCO' 'JETTA' 'PASSAT_CC'
 'CALIFORNIA' 'BORA' 'KARMANN_GHIA' 'GOLF_R' 'MULTIVAN' 'EUROVAN'
 'GOLF_PLUS' 'CADDY' 'PHAETON' 'GOLF_GTI' 'TIGUAN' 'SHARAN' 'ARTEON'
 'POINTER' 'FOX' 'VENTO' 'GOLF_R32' 'CORRADO' 'TYPE_2' 'TERAMONT' 'ATLAS'
 'POLO_GTI' 'LUPO']"
VOLVO,"['740' 'C70' 'S80' 'S40' '460' 'S70' 'V70' 'S90' '440' 'XC70' 'XC60'
 '240_SERIES' '940' 'V60_CROSS_COUNTRY' '960' 'S60' 'V90_CROSS_COUNTRY'
 'C30' 'XC90' 'V40_CC' '850' 'V50' 'XC40' '760' 'V40' 'V60']"
VORTEX,['TINGO' 'ESTINA']
WILLIS,['JEEPSTER' 'MB']
XINKAI,['PICKUP_X3']
ZAZ,"['TAVRIA' 'DANA' 'CHANCE' '965' 'SENS' 'FORZA' 'SLAVUTA' 'VIDA'
 'ZAZ_LANOS' '966' '968']"
ZIL,['4104' '114']
ZIS,['110']
ZOTYE,['COUPA' 'T600']
ZX,['GRAND_TIGER' 'LANDMARK']
